Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2013-01-10,13.42700005,13.43700027,13.11499977,13.2670002,57268000,5.0,8.0,5.0,,5.0,8.0,5.0
2013-01-11,13.25500011,13.42150021,13.20549965,13.39700031,48266000,10.0,10.0,,8.0,6.0,8.0,6.0
2013-01-14,13.39999962,13.7130003,13.37699986,13.63650036,85500000,,,9.0,,9.0,,
2013-01-15,13.5340004,13.63650036,13.46500015,13.59500027,46538000,,9.0,,9.0,,,
2013-01-16,13.52649975,13.56200027,13.39150047,13.44649982,41312000,6.0,3.0,6.0,3.0,,10.0,
2013-01-17,13.57499981,13.59850025,13.46049976,13.52400017,37692000,8.0,8.0,8.0,4.0,12.0,4.0,12.0
2013-01-18,13.54150009,13.72500038,13.47999954,13.60599995,58840000,9.0,9.0,8.0,6.0,8.0,6.0,6.0
2013-01-22,13.58100033,13.60499954,13.46150017,13.50949955,42754000,,6.0,,6.0,,,
2013-01-23,13.5284996,13.55449963,13.33250046,13.40550041,50178000,6.0,3.0,6.0,3.0,,10.0,
2013-01-24,13.46850014,13.83250046,13.46850014,13.67300034,68340000,9.0,10.0,10.0,4.0,14.0,7.0,12.0
2013-01-25,13.75,14.23600006,13.72000027,14.19950008,99362000,16.0,16.0,8.0,12.0,16.0,12.0,
2013-01-28,14.18900013,14.22399998,13.72000027,13.80200005,86428000,8.0,6.0,3.0,8.0,3.0,,
2013-01-29,13.76749992,13.77299976,12.91749954,13.01749992,203452000,6.0,3.0,6.0,3.0,,10.0,
2013-01-30,14.14999962,14.21000004,13.35550022,13.63799953,261508000,8.0,8.0,8.0,4.0,12.0,4.0,12.0
2013-01-31,13.55200005,13.79699993,13.18500042,13.27499962,135442000,5.0,5.0,3.0,4.0,3.0,6.0,
2013-02-01,13.44649982,13.44649982,13.14000034,13.25,122300000,,6.0,4.0,4.0,,5.0,5.0
2013-02-04,13.13899994,13.23400021,12.95349979,12.9989996,74472000,4.0,6.0,4.0,,4.0,8.0,
2013-02-05,13.10000038,13.40149975,13.07299995,13.34449959,80258000,12.0,9.0,4.0,8.0,9.0,8.0,4.0
2013-02-06,13.25800037,13.34449959,13.05550003,13.11100006,55408000,,3.0,2.0,,5.0,,
2013-02-07,13.20499992,13.20499992,12.75549984,13.01150036,79514000,6.0,6.0,6.0,6.0,,8.0,8.0
2013-02-08,13.06999969,13.26249981,13.02750015,13.09749985,77584000,7.0,12.0,7.0,,8.0,8.0,8.0
2013-02-11,13.15999985,13.16250038,12.82999992,12.86050034,68074000,7.0,7.0,,4.0,4.0,6.0,
2013-02-12,12.95950031,13.00800037,12.85000038,12.93500042,58874000,,4.0,6.0,6.0,,8.0,8.0
2013-02-13,13.07649994,13.49800014,13.01500034,13.47350025,105860000,8.0,15.0,15.0,,20.0,18.0,
2013-02-14,13.36849976,13.53250027,13.27000046,13.46199989,69260000,8.0,8.0,,8.0,8.0,,
2013-02-15,13.38150024,13.4460001,13.15550041,13.25450039,79598000,5.0,3.0,4.0,4.0,,8.0,
2013-02-19,13.2954998,13.50549984,13.22500038,13.48750019,57084000,8.0,8.0,8.0,4.0,12.0,4.0,12.0
2013-02-20,13.51000023,13.71500015,13.31849957,13.32050037,70578000,5.0,5.0,3.0,4.0,3.0,6.0,
2013-02-21,13.25599957,13.47399998,13.16250038,13.29699993,72748000,,6.0,4.0,4.0,,5.0,5.0
2013-02-22,13.33100033,13.35550022,13.08049965,13.27099991,62496000,5.0,8.0,5.0,,5.0,8.0,5.0
